,location,date,total_cases,new_cases,total_deaths,newcases
149610,Thailand,2020-03-01,42.0,0.0,1.0,4271.914864864865
149611,Thailand,2020-03-02,43.0,1.0,1.0,1.0
149612,Thailand,2020-03-03,43.0,0.0,1.0,4271.914864864865
149613,Thailand,2020-03-04,43.0,0.0,1.0,4271.914864864865
149614,Thailand,2020-03-05,47.0,4.0,1.0,4.0
149615,Thailand,2020-03-06,48.0,1.0,1.0,1.0
149616,Thailand,2020-03-07,50.0,2.0,1.0,2.0
149617,Thailand,2020-03-08,50.0,0.0,1.0,4271.914864864865
149618,Thailand,2020-03-09,50.0,0.0,1.0,4271.914864864865
149619,Thailand,2020-03-10,53.0,3.0,1.0,3.0
149620,Thailand,2020-03-11,59.0,6.0,1.0,6.0
149621,Thailand,2020-03-12,70.0,11.0,1.0,11.0
149622,Thailand,2020-03-13,75.0,5.0,1.0,5.0
149623,Thailand,2020-03-14,82.0,7.0,1.0,7.0
149624,Thailand,2020-03-15,114.0,32.0,1.0,32.0
149625,Thailand,2020-03-16,147.0,33.0,1.0,33.0
149626,Thailand,2020-03-17,177.0,30.0,1.0,30.0
149627,Thailand,2020-03-18,212.0,35.0,1.0,35.0
149628,Thailand,2020-03-19,272.0,60.0,1.0,60.0
149629,Thailand,2020-03-20,322.0,50.0,1.0,50.0
149630,Thailand,2020-03-21,411.0,89.0,1.0,89.0
149631,Thailand,2020-03-22,599.0,188.0,1.0,188.0
149632,Thailand,2020-03-23,721.0,122.0,1.0,122.0
149633,Thailand,2020-03-24,827.0,106.0,4.0,106.0
149634,Thailand,2020-03-25,934.0,107.0,4.0,107.0
149635,Thailand,2020-03-26,1045.0,111.0,4.0,111.0
149636,Thailand,2020-03-27,1136.0,91.0,5.0,91.0
149637,Thailand,2020-03-28,1245.0,109.0,6.0,109.0
149638,Thailand,2020-03-29,1388.0,143.0,7.0,143.0
149639,Thailand,2020-03-30,1524.0,136.0,9.0,136.0
149640,Thailand,2020-03-31,1651.0,127.0,10.0,127.0
149641,Thailand,2020-04-01,1771.0,120.0,12.0,120.0
