Year,Month,Day,Hour,PM2.5,PM10_mask,Retrospective
2016,3,3,8,53.99,1,0
2016,3,3,9,53.95,1,0
2016,3,3,10,54.1,1,0
2016,3,3,11,53.93,1,0
2016,3,3,12,41.23,1,0
2016,3,3,13,42.44,1,0
2016,3,3,14,38.7,1,0
2016,3,3,15,39.44,1,0
2016,3,3,16,39.35,1,0
2016,3,3,17,54.49,1,0
2016,3,3,19,61.38,1,0
2016,3,3,20,57.11,1,0
2016,3,3,21,51.03,1,0
2016,3,3,22,45.63,1,0
2016,3,3,23,41.83,1,0
2016,3,4,0,36.06,1,0
2016,3,4,1,32.73,1,0
2016,3,4,2,32.65,1,0
2016,3,4,3,34.28,1,0
2016,3,4,4,35.94,1,0
2016,3,4,5,42.49,1,0
2016,3,4,6,44.11,1,0
2016,3,4,7,44.28,1,0
2016,3,4,8,45.53,1,0
2016,3,4,9,39.44,1,0
2016,3,4,10,36.34,1,0
2016,3,4,11,38.02,1,0
2016,3,4,12,37.83,1,0
2016,3,4,13,39.54,1,0
2016,3,4,14,38.21,1,0
2016,3,4,15,36.43,1,0
2016,3,4,16,34.63,1,0
2016,3,4,17,37.82,1,0
2016,3,4,18,46.11,1,0
2016,3,4,19,46.87,1,0
2016,3,4,20,46.92,1,0
2016,3,4,21,46.93,1,0
2016,3,4,22,46.71,1,0
2016,3,4,23,46.43,1,0
2016,3,5,0,46.29,1,0
2016,3,5,1,46.26,1,0
2016,3,5,2,46.22,1,0
2016,3,5,3,46.26,1,0
2016,3,5,4,46.24,1,0
2016,3,5,5,46.41,1,0
2016,3,5,6,46.66,1,0
2016,3,5,7,46.75,1,0
2016,3,5,8,46.62,1,0
2016,3,5,9,46.51,1,0
2016,3,5,10,46.46,1,0
2016,3,5,11,46.54,1,0
2016,3,5,12,46.41,1,0
2016,3,5,13,46.35,1,0
2016,3,5,14,46.34,1,0
2016,3,5,15,46.29,1,0
2016,3,5,16,46.28,1,0
2016,3,5,17,47.35,1,0
2016,3,5,18,38.94,1,0
2016,3,5,19,43.88,1,0
2016,3,5,20,45.2,1,0
2016,3,5,21,40.67,1,0
2016,3,5,22,40.79,1,0
